product_id,product_name,variant_sku,variant_name,technical_spec,product_type,unit,stock,pack_quantity,availability,ashkan_url,price,image_1,image_2,product_pack_quantity,variant_count,total_product_stock,product_availability,main_image,display_status
8090014,لگن نیما 3,809001417,لگن نیما 3 موکا,12,محصول نهایی,بسته,30.0,24.0,موجود,https://ashkanplastic.com/product/8090014/,,,,24.0,5,144.0,موجود,,فعال
8090014,لگن نیما 3,809001409,لگن نیما 3 وانیلی,12,محصول نهایی,بسته,34.0,24.0,موجود,https://ashkanplastic.com/product/8090014/,,,,24.0,5,144.0,موجود,,فعال
8090016,لگن نیما 4,809001601,لگن نیما 4 صورتی,12,محصول نهایی,بسته,0.0,24.0,ناموجود,https://ashkanplastic.com/product/8090016/,,,,24.0,5,287.0,موجود,,فعال
8090016,لگن نیما 4,809001602,لگن نیما 4 طوسی,12,محصول نهایی,بسته,82.0,24.0,موجود,https://ashkanplastic.com/product/8090016/,,,,24.0,5,287.0,موجود,,فعال
8090016,لگن نیما 4,809001607,لگن نیما 4 کرپ,12,محصول نهایی,بسته,66.0,24.0,موجود,https://ashkanplastic.com/product/8090016/,,,,24.0,5,287.0,موجود,,فعال
8090016,لگن نیما 4,809001617,لگن نیما 4 موکا,12,محصول نهایی,بسته,77.0,24.0,موجود,https://ashkanplastic.com/product/8090016/,,,,24.0,5,287.0,موجود,,فعال
8090016,لگن نیما 4,809001609,لگن نیما 4 وانیلی,12,محصول نهایی,بسته,62.0,24.0,موجود,https://ashkanplastic.com/product/8090016/,,,,24.0,5,287.0,موجود,,فعال
8090018,لگن نیما 5,809001802,لگن نیما 5 طوسی,12,محصول نهایی,بسته,86.0,12.0,موجود,https://ashkanplastic.com/product/8090018/,,,,12.0,4,260.166667,موجود,,فعال
8090018,لگن نیما 5,809001807,لگن نیما 5 کرپ,12,محصول نهایی,بسته,45.0,12.0,موجود,https://ashkanplastic.com/product/8090018/,,,,12.0,4,260.166667,موجود,,فعال
8090018,لگن نیما 5,809001817,لگن نیما 5 موکا,12,محصول نهایی,بسته,70.0,12.0,موجود,https://ashkanplastic.com/product/8090018/,,,,12.0,4,260.166667,موجود,,فعال
8090018,لگن نیما 5,809001809,لگن نیما 5 وانیلی,12,محصول نهایی,بسته,59.166667,12.0,موجود,https://ashkanplastic.com/product/8090018/,,,,12.0,4,260.166667,موجود,,فعال
8090020,لگن نیما 6,809002001,لگن نیما 6 صورتی,12,محصول نهایی,بسته,0.0,12.0,ناموجود,https://ashkanplastic.com/product/8090020/,,,,12.0,5,174.083333,موجود,,فعال
8090020,لگن نیما 6,809002002,لگن نیما 6 طوسی,12,محصول نهایی,بسته,48.0,12.0,موجود,https://ashkanplastic.com/product/8090020/,,,,12.0,5,174.083333,موجود,,فعال
8090020,لگن نیما 6,809002007,لگن نیما 6 کرپ,12,محصول نهایی,بسته,38.083333,12.0,موجود,https://ashkanplastic.com/product/8090020/,,,,12.0,5,174.083333,موجود,,فعال
8090020,لگن نیما 6,809002017,لگن نیما 6 موکا,12,محصول نهایی,بسته,52.0,12.0,موجود,https://ashkanplastic.com/product/8090020/,,,,12.0,5,174.083333,موجود,,فعال
8090020,لگن نیما 6,809002009,لگن نیما 6 وانیلی,12,محصول نهایی,بسته,36.0,12.0,موجود,https://ashkanplastic.com/product/8090020/,,,,12.0,5,174.083333,موجود,,فعال
8092010,لگن نیما مینی,809201010,لگن نیما مینی الوان,12,محصول نهایی,بسته,109.0,48.0,موجود,https://ashkanplastic.com/product/8092010/,,,,48.0,3,114.0,موجود,,فعال
8092010,لگن نیما مینی,809201001,لگن نیما مینی صورتی,12,محصول نهایی,بسته,1.0,48.0,موجود,https://ashkanplastic.com/product/8092010/,,,,48.0,3,114.0,موجود,,فعال
8092010,لگن نیما مینی,809201007,لگن نیما مینی کرپ,12,محصول نهایی,بسته,4.0,48.0,موجود,https://ashkanplastic.com/product/8092010/,,,,48.0,3,114.0,موجود,,فعال
3169810,سرویس فریزری دورنگ روشا (4عددی),316981092,لیبل سرویس فریزری دورنگ روشا,داودی - سرویس فریزری دو رنگ روشا (4عددی),محصول نهایی,عدد,20000.0,12.0,موجود,https://ashkanplastic.com/product/3169810/,,,,12.0,6,20528.0,موجود,,فعال
2360810,لیوان دورنگ روشا,236081010,لیوان 2رنگ روشا الوان,12,محصول نهایی,بسته,135.0,120.0,موجود,https://ashkanplastic.com/product/2360810/,,,,120.0,1,135.0,موجود,,فعال
2310810,لیوان 2رنگ سیب,231081002,لیوان 2رنگ سیب طوسی,12,محصول نهایی,بسته,0.0,96.0,ناموجود,https://ashkanplastic.com/product/2310810/,,,,96.0,2,113.0,موجود,,فعال
2390812,لیوان 2رنگ گلبرگ اشکان,239081210,لیوان 2رنگ گلبرگ اشکان الوان,12,محصول نهایی,بسته,119.0,96.0,موجود,https://ashkanplastic.com/product/2390812/,,,,96.0,3,163.0,موجود,,فعال
2390812,لیوان 2رنگ گلبرگ اشکان,239081203,لیوان 2رنگ گلبرگ اشکان سفید,12,محصول نهایی,بسته,44.0,96.0,موجود,https://ashkanplastic.com/product/2390812/,,,,96.0,3,163.0,موجود,,فعال
2390812,لیوان 2رنگ گلبرگ اشکان,239081201,لیوان 2رنگ گلبرگ اشکان صورتی,12,محصول نهایی,بسته,0.0,96.0,ناموجود,https://ashkanplastic.com/product/2390812/,,,,96.0,3,163.0,موجود,,فعال
2390010,لیوان الماس,239001010,لیوان الماس الوان,12,محصول نهایی,بسته,77.0,96.0,موجود,https://ashkanplastic.com/product/2390010/,,,,96.0,2,77.0,موجود,,فعال
2390010,لیوان الماس,239001008,لیوان الماس شفاف,12,محصول نهایی,بسته,0.0,96.0,ناموجود,https://ashkanplastic.com/product/2390010/,,,,96.0,2,77.0,موجود,,فعال
2395010,لیوان بهنوش عکس دار بزرگ,239501010,لیوان بهنوش عکس دار بزرگ الوان,12,محصول نهایی,بسته,1.0,108.0,موجود,https://ashkanplastic.com/product/2395010/,,,,108.0,1,1.0,موجود,,فعال
