کد,عنوان,مشخصه فنی,ماهیت کالا,واحد سنجش (اصلی),مانده از قبل (اصلی),ابتدای دوره (اصلی),ورودی (اصلی),خروجی (اصلی),مانده (اصلی),تعداد در بسته,کد.1,آدرس,Unnamed: 13,کد جدید,نام,تعداد در بسته.1
809002007,لگن نیما 6 کرپ,,محصول نهایی,بسته,0,0,41.083333,3,38.083333,12,8090020,https://ashkanplastic.com/product/8090020/,,,,
809002017,لگن نیما 6 موکا,,محصول نهایی,بسته,0,0,118.75,66.75,52,12,8090020,https://ashkanplastic.com/product/8090020/,,,,
809002009,لگن نیما 6 وانیلی,,محصول نهایی,بسته,0,20,51,35,36,12,8090020,https://ashkanplastic.com/product/8090020/,,,,
809201010,لگن نیما مینی الوان,,محصول نهایی,بسته,0,80,120,91,109,48,8092010,https://ashkanplastic.com/product/8092010/,,,,
809201001,لگن نیما مینی صورتی,,محصول نهایی,بسته,0,1,0,0,1,48,8092010,https://ashkanplastic.com/product/8092010/,,,,
809201007,لگن نیما مینی کرپ,,محصول نهایی,بسته,0,4,0,0,4,48,8092010,https://ashkanplastic.com/product/8092010/,,,,
316981092,لیبل سرویس فریزری دورنگ روشا,داودی - سرویس فریزری دو رنگ روشا (4عددی),محصول نهایی,عدد,0,20000,0,0,20000,12,3169810,https://ashkanplastic.com/product/3169810/,,,,
236081010,لیوان 2رنگ روشا الوان,,محصول نهایی,بسته,0,1,200,66,135,120,2360810,https://ashkanplastic.com/product/2360810/,,,,
231081002,لیوان 2رنگ سیب طوسی,,محصول نهایی,بسته,0,0,0.041667,0.041667,0,96,2310810,https://ashkanplastic.com/product/2310810/,,,,
239081210,لیوان 2رنگ گلبرگ اشکان الوان,,محصول نهایی,بسته,0,282,0.854167,163.854167,119,96,2390812,https://ashkanplastic.com/product/2390812/,,,,
239081203,لیوان 2رنگ گلبرگ اشکان سفید,,محصول نهایی,بسته,0,144,0,100,44,96,2390812,https://ashkanplastic.com/product/2390812/,,,,
239081201,لیوان 2رنگ گلبرگ اشکان صورتی,,محصول نهایی,بسته,0,0,0.010417,0.010417,0,96,2390812,https://ashkanplastic.com/product/2390812/,,,,
239001010,لیوان الماس الوان,,محصول نهایی,بسته,0,144,76,143,77,96,2390010,https://ashkanplastic.com/product/2390010/,,,,
239001008,لیوان الماس شفاف,,محصول نهایی,بسته,0,0,0.010417,0.010417,0,96,2390010,https://ashkanplastic.com/product/2390010/,,,,
239501010,لیوان بهنوش عکس دار بزرگ الوان,,محصول نهایی,بسته,0,1,0,0,1,108,2395010,https://ashkanplastic.com/product/2395010/,,,,
239301010,لیوان بهنوش عکس دار کوچک الوان,,محصول نهایی,بسته,0,65,0,3,62,192,2393010,https://ashkanplastic.com/product/2393010/,,,,
239061010,لیوان دسته دار گلبرگ الوان,,محصول نهایی,بسته,0,119,727.09375,564.09375,282,96,2390610,https://ashkanplastic.com/product/2390610/,,,,
239081010,لیوان دو رنگ توپی الوان,,محصول نهایی,بسته,0,143,81.458333,145.458333,79,96,2390810,https://ashkanplastic.com/product/2390810/,,,,
231081010,لیوان دو رنگ سیب الوان,,محصول نهایی,بسته,0,204,76.927083,167.927083,113,96,2310810,https://ashkanplastic.com/product/2310810/,,,,
238761010,لیوان کودک هما الوان - 192عددی,نصیری,محصول نهایی,کارتن,0,53,0,26,27,192,2387610,https://ashkanplastic.com/product/2387610/,,,,
239002010,لیوان موج مدل 103- الوان,اشکان- اشکان,محصول نهایی,کارتن,0,257,119.020833,221.020833,155,48,2390020,https://ashkanplastic.com/product/2390020/,,,,
239002008,لیوان موج مدل 103- شفاف,اشکان- اشکان,محصول نهایی,کارتن,0,227,550,525,252,48,2390020,https://ashkanplastic.com/product/2390020/,,,,
239002025,لیوان موج مدل 103- عسلی,اشکان / اشکان,محصول نهایی,کارتن,0,43,0.020833,43.020833,0,48,2390020,https://ashkanplastic.com/product/2390020/,,,,
239505010,لیوان نی دار بزرگ بهنوش الوان,,محصول نهایی,بسته,0,35,0.625,35.625,0,,2395050,https://ashkanplastic.com/product/2395050/,,,,
239005003,لیوان نی دار بزرگ بهنوش سفید,,محصول نهایی,بسته,0,49,0,0,49,48,2390050,https://ashkanplastic.com/product/2390050/,,,,
239405003,لیوان نی دار متوسط بهنوش -سفید,,محصول نهایی,کارتن,0,48,0,0,48,48,2394050,https://ashkanplastic.com/product/2394050/,,,,
239405010,لیوان نی دار متوسط بهنوش الوان,,محصول نهایی,کارتن,0,130,130,260,0,48,2394050,https://ashkanplastic.com/product/2394050/,,,,
471001010,مگس کش سیب الوان,,محصول نهایی,بسته,0,69,411,315,165,192,4710010,https://ashkanplastic.com/product/4710010/,,,,
454002010,نظم دهنده دایانا الوان,,محصول نهایی,بسته,0,255,0,161,94,24,4540020,https://ashkanplastic.com/product/4540020/,,,,
862001010,نمکپاش چند منظوره اشکان الوان,,محصول نهایی,بسته,0,308,222,457,73,192,8620010,https://ashkanplastic.com/product/8620010/,,,,
869001010,نمکدان الماس الوان,,محصول نهایی,بسته,0,323,50,193,180,384,8690010,https://ashkanplastic.com/product/8690010/,,,,
868001010,نمکدان هما الوان,,محصول نهایی,بسته,0,264,702,824,142,180,8680010,https://ashkanplastic.com/product/8680010/,,,,
868001002,نمکدان هما طوسی,,محصول نهایی,بسته,0,0,0.011111,0.011111,0,180,8680010,https://ashkanplastic.com/product/8680010/,,,,
829001009,وان بچه نیما وانیلی,,محصول نهایی,بسته,0,2,0,0,2,,8290010,https://ashkanplastic.com/product/8290010/,,,,
821021003,وان بیضی 55 سیب سفید,,محصول نهایی,بسته,0,38,71.166667,45.166667,64,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021001,وان بیضی 55 سیب صورتی,,محصول نهایی,بسته,0,0,0.083333,0.083333,0,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021002,وان بیضی 55 سیب طوسی,,محصول نهایی,بسته,0,0,172.25,132.25,40,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021007,وان بیضی 55 سیب کرپ,,محصول نهایی,بسته,0,23,82.416666,61.333333,44.083333,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021017,وان بیضی 55 سیب موکا,,محصول نهایی,بسته,0,0,38,37,1,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021009,وان بیضی 55 سیب وانیلی,,محصول نهایی,بسته,0,23,74.083333,56.083333,41,12,8210210,https://ashkanplastic.com/product/8210210/,,,,
821021203,وان بیضی 65 سیب سفید,,محصول نهایی,بسته,0,53,75,81,47,6,8210212,https://ashkanplastic.com/product/8210212/,,,,
821021201,وان بیضی 65 سیب صورتی,,محصول نهایی,بسته,0,0,0.166667,0.166667,0,6,8210212,https://ashkanplastic.com/product/8210212/,,,,
821021202,وان بیضی 65 سیب طوسی,,محصول نهایی,بسته,0,53,195.166667,189,59.166667,6,8210212,https://ashkanplastic.com/product/8210212/,,,,
821021207,وان بیضی 65 سیب کرپ,,محصول نهایی,بسته,0,49,101.500001,98.500001,52,6,8210212,https://ashkanplastic.com/product/8210212/,,,,
821021209,وان بیضی 65 سیب وانیلی,,محصول نهایی,بسته,0,49,104,97,56,6,8210212,https://ashkanplastic.com/product/8210212/,,,,
821021403,وان بیضی 85 سیب سفید,,محصول نهایی,بسته,0,51,65.333334,64.166667,52.166667,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821021401,وان بیضی 85 سیب صورتی,,محصول نهایی,بسته,0,0,0.166667,0.166667,0,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821021402,وان بیضی 85 سیب طوسی,,محصول نهایی,بسته,0,18,177.833335,89.666668,106.166667,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821021407,وان بیضی 85 سیب کرپ,,محصول نهایی,بسته,0,29,94.166667,56.166667,67,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821021411,وان بیضی 85 سیب کرم,,محصول نهایی,بسته,0,11,2.333333,4.333333,9,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821021409,وان بیضی 85 سیب وانیلی,,محصول نهایی,بسته,0,39,119,75,83,6,8210214,https://ashkanplastic.com/product/8210214/,,,,
821011603,وان بیضی 90 سیب سفید,,محصول نهایی,بسته,0,71,0,22,49,6,8210116,https://ashkanplastic.com/product/8210116/,,,,
