sku_variant,product_name,technical_spec,product_type,unit,opening_balance_previous,period_opening,inbound,outbound_or_value,balance,pack_quantity,product_code,product_url
409001002,جا قاشقی آویز گشنیز طوسی,12,محصول نهایی,بسته,0,0,0.472223,73500,0,30,4090010,https://ashkanplastic.com/product/4090010/
409001007,جا قاشقی آویز گشنیز کرپ,12,محصول نهایی,بسته,0,15,0.083334,73500,0,30,4090010,https://ashkanplastic.com/product/4090010/
409001009,جا قاشقی آویز گشنیز وانیلی,12,محصول نهایی,بسته,0,0,0.027778,73500,0,30,4090010,https://ashkanplastic.com/product/4090010/
401001010,جا قاشقی آویز لوکس سیب الوان,12,محصول نهایی,بسته,0,0,0.233333,70000,0,30,4010010,https://ashkanplastic.com/product/4010010/
401001001,جا قاشقی آویز لوکس سیب صورتی,12,محصول نهایی,بسته,0,25,0.166666,70000,2,30,4010010,https://ashkanplastic.com/product/4010010/
401001002,جا قاشقی آویز نیکا طوسی,12,محصول نهایی,بسته,0,0,390,70000,91,30,4010010,https://ashkanplastic.com/product/4010010/
401001007,جا قاشقی آویز نیکا کرپ,12,محصول نهایی,بسته,0,1,195.066667,70000,70,30,4010010,https://ashkanplastic.com/product/4010010/
401001017,جا قاشقی آویز نیکا موکا,12,محصول نهایی,بسته,0,0,471,70000,92,30,4010010,https://ashkanplastic.com/product/4010010/
401001009,جا قاشقی آویز نیکا وانیلی,12,محصول نهایی,بسته,0,0,105,70000,72,30,4010010,https://ashkanplastic.com/product/4010010/
408701010,جا قاشقی دو پارچه هما الوان,12,محصول نهایی,بسته,0,28,1.083333,99000,1,24,4087010,https://ashkanplastic.com/product/4087010/
401701002,جا قاشقی دو جداره سیب طوسی,12,محصول نهایی,بسته,0,0,0.041667,,0,,4017010,https://ashkanplastic.com/product/4017010/
401001201,جا قاشقی سه خانه سیب صورتی,12,محصول نهایی,بسته,0,1,0.111111,59000,1,36,4010012,https://ashkanplastic.com/product/4010012/
401001202,جا قاشقی سه خانه سیب طوسی,12,محصول نهایی,بسته,0,35,51,59000,26,36,4010012,https://ashkanplastic.com/product/4010012/
401001207,جا قاشقی سه خانه سیب کرپ,12,محصول نهایی,بسته,0,1,85,59000,66,36,4010012,https://ashkanplastic.com/product/4010012/
401001217,جا قاشقی سه خانه سیب موکا,12,محصول نهایی,بسته,0,32,82,59000,64,36,4010012,https://ashkanplastic.com/product/4010012/
401001209,جا قاشقی سه خانه سیب وانیلی,12,محصول نهایی,بسته,0,33,58,59000,65,36,4010012,https://ashkanplastic.com/product/4010012/
674001010,جا کاغذی دایانا الوان,12,محصول نهایی,بسته,0,122,0,93000,70,24,6740010,https://ashkanplastic.com/product/6740010/
674001001,جا کاغذی دایانا صورتی,12,محصول نهایی,بسته,0,0,0.291667,93000,0,24,6740010,https://ashkanplastic.com/product/6740010/
429004010,جا کره ای چوبی دلسا,12,محصول نهایی,کارتن,0,200,0,238000,195,36,4290040,https://ashkanplastic.com/product/4290040/
429001010,جا کره ای هما الوان,12,محصول نهایی,بسته,0,320,204.458334,56500,90,48,4290010,https://ashkanplastic.com/product/4290010/
429001001,جا کره ای هما صورتی,12,محصول نهایی,بسته,0,0,0.291667,56500,0.166667,48,4290010,https://ashkanplastic.com/product/4290010/
429001002,جا کره ای هما طوسی,12,محصول نهایی,بسته,0,0,0.041667,56500,0,48,4290010,https://ashkanplastic.com/product/4290010/
429001007,جا کره ای هما کرپ,12,محصول نهایی,بسته,0,0,0.020833,56500,0,48,4290010,https://ashkanplastic.com/product/4290010/
391001010,جا لوازم التحریر سیب الوان,12,محصول نهایی,بسته,0,285,0,73000,219,48,3910010,https://ashkanplastic.com/product/3910010/
391001001,جا لوازم التحریر سیب صورتی,12,محصول نهایی,بسته,0,0,0.020833,73000,0,48,3910010,https://ashkanplastic.com/product/3910010/
391001007,جا لوازم التحریر سیب کرپ,12,محصول نهایی,بسته,0,0,0.083333,73000,0,48,3910010,https://ashkanplastic.com/product/3910010/
359001020,جا مایع دلسا,12,محصول نهایی,کارتن,0,0,580,115000,193,24,3590010,https://ashkanplastic.com/product/3590010/
362001010,جااسکاجی دو قلوی اشکان الوان,12,محصول نهایی,بسته,0,193,179,71000,6,48,3620010,https://ashkanplastic.com/product/3620010/
362001001,جااسکاجی دو قلوی اشکان صورتی,12,محصول نهایی,بسته,0,0,0.125,71000,0.083333,48,3620010,https://ashkanplastic.com/product/3620010/
362001007,جااسکاجی دو قلوی اشکان کرپ,12,محصول نهایی,بسته,0,0,0.0625,71000,0.0625,48,3620010,https://ashkanplastic.com/product/3620010/
